participant_id,occasion,span_wm,accuracy_wm,span_planning,accuracy_planning,span_wmplanning,accuracy_wmplanning,route_efficiency_pct_planning,route_efficiency_pct_wmplanning,wm_mean_total_time,wm_mean_planning_time,wm_mean_execution_time,planning_mean_total_time,planning_mean_planning_time,planning_mean_execution_time,wmplanning_mean_total_time,wmplanning_mean_planning_time,wmplanning_mean_execution_time
PPR25,POST,3,4,9,16,2,2,95.833333,,6.0,0.0,6.0,28.625,3.0,25.625,16.0,1.0,15.0
PPR26,PRE,0,0,9,16,4,4,72.378663,100.0,,,,38.75,3.0,35.75,20.666667,1.0,19.666667
PPR26,POST,3,4,9,16,4,4,89.930556,100.0,4.5,0.0,4.5,13.625,3.0,10.625,13.0,1.0,12.0
PPR27,PRE,3,3,8,12,2,2,93.253968,80.0,4.5,0.0,4.5,41.571429,3.0,38.571429,58.0,1.0,57.0
PPR27,POST,2,2,8,14,0,0,92.380952,,3.0,0.0,3.0,17.428571,3.0,14.428571,,,
PPR28,PRE,2,2,9,16,6,9,88.214869,82.346154,6.0,0.0,6.0,50.75,3.0,47.75,27.6,1.0,26.6
PPR28,POST,3,4,9,16,2,2,97.222222,100.0,4.5,0.0,4.5,19.875,3.0,16.875,16.0,1.0,15.0
PPR29,PRE,3,3,9,16,4,5,76.786963,100.0,7.5,0.0,7.5,41.875,3.0,38.875,34.0,1.0,33.0
PPR29,POST,0,0,8,12,0,0,96.969697,,,,,36.0,3.0,33.0,,,
AC04,PRE,2,1,9,16,5,8,95.227273,100.0,7.0,0.0,7.0,48.75,3.0,45.75,26.0,1.0,25.0
AC04,POST,2,1,9,15,4,4,78.787879,76.666667,4.0,0.0,4.0,36.25,3.0,33.25,38.666667,1.0,37.666667
AC05,PRE,0,0,9,16,5,7,83.296703,87.857143,,,,52.375,3.0,49.375,60.75,1.0,59.75
AC05,POST,0,0,9,16,6,8,84.001068,92.363636,,,,47.875,3.0,44.875,34.2,1.0,33.2
AC06,PRE,0,0,9,16,0,0,95.227273,,,,,39.5,3.0,36.5,,,
AC06,POST,0,0,9,16,2,1,82.5,100.0,,,,38.875,3.0,35.875,22.0,1.0,21.0
AC08,PRE,3,3,9,16,5,8,88.00505,100.0,5.5,0.0,5.5,32.25,3.0,29.25,27.0,1.0,26.0
AC08,POST,3,3,9,16,4,5,84.661796,94.444444,6.0,0.0,6.0,23.25,3.0,20.25,22.666667,1.0,21.666667
AC09,PRE,2,1,6,6,0,0,100.0,,3.0,0.0,3.0,73.6,3.0,70.6,,,
AC09,POST,2,2,9,16,4,5,95.0,94.444444,10.0,0.0,10.0,51.0,3.0,48.0,59.333333,1.0,58.333333
AC10,PRE,3,3,9,16,4,6,92.727273,100.0,21.5,0.0,21.5,41.25,3.0,38.25,39.0,1.0,38.0
AC10,POST,3,3,9,16,2,1,97.222222,100.0,18.5,0.0,18.5,19.25,3.0,16.25,20.0,1.0,19.0
AC11,PRE,2,2,9,16,5,6,65.106838,79.910714,8.0,0.0,8.0,61.0,3.0,58.0,43.75,1.0,42.75
AC11,POST,3,4,9,16,3,4,70.080614,91.666666,8.5,0.0,8.5,43.625,3.0,40.625,34.5,1.0,33.5
AC12,PRE,0,0,9,16,4,5,82.638889,83.809524,,,,51.5,3.0,48.5,59.666667,1.0,58.666667
AC12,POST,3,4,9,16,6,9,85.042735,86.649351,13.0,0.0,13.0,45.875,3.0,42.875,44.8,1.0,43.8
AC13,PRE,2,2,9,16,2,2,97.5,100.0,11.0,0.0,11.0,23.125,3.0,20.125,22.0,1.0,21.0
AC13,POST,2,2,9,16,5,7,90.803571,74.166667,7.0,0.0,7.0,18.375,3.0,15.375,27.25,1.0,26.25
AC14,PRE,2,2,9,16,2,2,94.602273,100.0,8.0,0.0,8.0,22.75,3.0,19.75,18.0,1.0,17.0
AC14,POST,0,0,9,16,6,9,86.467352,92.666667,,,,23.25,3.0,20.25,27.4,1.0,26.4
AC15,PRE,6,10,9,14,0,0,88.327991,,6.2,0.0,6.2,22.75,3.0,19.75,,,
AC15,POST,0,0,9,16,5,7,93.303571,95.0,,,,18.25,3.0,15.25,17.75,1.0,16.75
AC16,PRE,2,1,9,16,0,0,88.560606,,5.0,0.0,5.0,26.625,3.0,23.625,,,
AC16,POST,2,2,9,16,6,9,89.204545,92.0,7.0,0.0,7.0,19.75,3.0,16.75,20.2,1.0,19.2
AC18,PRE,3,4,9,16,0,0,93.055556,,6.0,0.0,6.0,49.5,3.0,46.5,,,
AC18,POST,4,5,9,15,3,3,100.0,100.0,6.333333,0.0,6.333333,22.625,3.0,19.625,25.0,1.0,24.0
AC19,PRE,2,1,9,16,3,4,89.829545,81.25,3.0,0.0,3.0,38.5,3.0,35.5,26.0,1.0,25.0
AC19,POST,3,3,9,16,3,4,81.400058,75.714286,7.0,0.0,7.0,27.0,3.0,24.0,23.0,1.0,22.0
AC20,PRE,3,4,9,16,5,8,88.740079,95.0,8.0,0.0,8.0,14.875,3.0,11.875,18.0,1.0,17.0
AC20,POST,3,4,9,16,5,7,92.329545,87.857143,7.0,0.0,7.0,17.125,3.0,14.125,17.5,1.0,16.5
AC21,PRE,2,1,9,16,4,5,100.0,94.444444,1.0,0.0,1.0,20.125,3.0,17.125,18.666667,1.0,17.666667
AC21,POST,4,6,0,0,2,1,,69.230769,6.0,0.0,6.0,,,,24.0,1.0,23.0
AC22,PRE,3,2,9,16,6,7,96.875,89.030303,8.0,0.0,8.0,30.0,3.0,27.0,30.6,1.0,29.6
AC22,POST,3,3,9,16,4,6,90.723562,93.333333,7.5,0.0,7.5,24.25,3.0,21.25,32.333333,1.0,31.333333
AC23,PRE,4,4,9,15,5,7,100.0,79.910714,5.0,0.0,5.0,18.0,3.0,15.0,36.0,1.0,35.0
AC23,POST,3,3,9,16,5,6,90.833333,95.0,4.5,0.0,4.5,30.25,3.0,27.25,32.75,1.0,31.75
AC24,PRE,3,4,9,16,5,8,100.0,95.0,11.5,0.0,11.5,37.875,3.0,34.875,39.0,1.0,38.0
AC24,POST,3,4,9,16,2,2,88.392857,80.0,7.5,0.0,7.5,23.75,3.0,20.75,24.0,1.0,23.0
AC25,PRE,3,2,9,16,3,4,94.949495,100.0,7.0,0.0,7.0,22.375,3.0,19.375,25.5,1.0,24.5
AC25,POST,3,4,9,16,5,7,100.0,100.0,4.5,0.0,4.5,16.625,3.0,13.625,17.5,1.0,16.5
AC26,PRE,3,2,9,16,4,6,90.366162,83.809524,5.5,0.0,5.5,42.875,3.0,39.875,24.0,1.0,23.0
AC26,POST,0,0,9,16,6,9,80.890152,86.51282,,,,31.125,3.0,28.125,26.0,1.0,25.0
AC27,PRE,2,2,9,16,4,6,75.975379,87.777778,3.0,0.0,3.0,23.0,3.0,20.0,22.333333,1.0,21.333333
AC27,POST,4,6,9,16,5,7,100.0,85.833333,5.0,0.0,5.0,15.875,3.0,12.875,18.75,1.0,17.75
AC28,PRE,3,4,9,16,3,4,100.0,81.666666,3.5,0.0,3.5,16.25,3.0,13.25,27.0,1.0,26.0
AC28,POST,3,4,9,16,7,12,100.0,77.649573,4.5,0.0,4.5,22.25,3.0,19.25,23.833333,1.0,22.833333
AC29,PRE,2,1,9,16,3,4,97.222222,81.666666,5.0,0.0,5.0,22.75,3.0,19.75,26.5,1.0,25.5
AC29,POST,3,3,9,16,3,4,91.287879,85.714286,2.5,0.0,2.5,17.5,3.0,14.5,20.0,1.0,19.0
AC30,PRE,3,4,9,16,5,7,100.0,92.857143,10.5,0.0,10.5,20.625,3.0,17.625,30.75,1.0,29.75
AC30,POST,6,10,9,16,4,6,84.759615,82.222222,12.8,0.0,12.8,24.75,3.0,21.75,35.0,1.0,34.0
AC31,PRE,3,2,9,16,6,9,97.5,100.0,6.0,0.0,6.0,18.875,3.0,15.875,25.6,1.0,24.6
AC31,POST,3,4,9,16,5,8,100.0,87.857143,6.0,0.0,6.0,14.875,3.0,11.875,18.5,1.0,17.5
AC32,PRE,4,5,9,16,4,5,89.835165,100.0,8.0,0.0,8.0,22.875,3.0,19.875,28.0,1.0,27.0
AC32,POST,3,2,9,16,4,5,100.0,83.809524,5.0,0.0,5.0,24.625,3.0,21.625,23.0,1.0,22.0
AC33,PRE,3,3,9,16,5,7,82.136613,91.666667,5.0,0.0,5.0,21.25,3.0,18.25,21.25,1.0,20.25
AC33,POST,3,4,9,16,4,5,91.597222,100.0,5.5,0.0,5.5,13.125,3.0,10.125,15.0,1.0,14.0
AC34,PRE,0,0,8,14,4,5,100.0,100.0,,,,44.857143,3.0,41.857143,29.666667,1.0,28.666667
AC34,POST,2,1,9,16,2,1,88.862179,81.818182,5.0,0.0,5.0,23.125,3.0,20.125,22.0,1.0,21.0
