participant_id,occasion,score_field,database_column,source,original_value,output_value
SPR21,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,73.49,73.830614
SPR21,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,75.31,77.556818
SPR21,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90,90.833333
SPR21,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,66.67,66.666667
SPR22,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,92.142857
SPR22,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
SPR22,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
SPR22,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
SPR23,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,71.76,74.239268
SPR23,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,37.28,40.088045
SPR23,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,75,75.0
SPR23,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,75,75.357143
SPR25,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,91.04,93.653846
SPR25,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,83.56,86.199495
SPR25,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,77.78,81.944444
SPR25,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,72.22,72.698413
PPR01,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,85.92,91.25
PPR01,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,83.56,89.642857
PPR01,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
PPR01,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,66.67,66.666667
PPR02,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,70.11,76.824495
PPR02,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,83.56,85.897436
PPR02,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,91.67,93.333333
PPR02,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,86.05,87.121212
PPR03,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,91.666667
PPR03,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,94.375
PPR03,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,72.22,74.166667
PPR03,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR04,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,79.22,82.121212
PPR04,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
PPR04,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,81.82,81.666666
PPR04,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,88.24,89.030303
PPR05,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,85.92,88.792735
PPR05,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,94.722222
PPR05,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90,90.0
PPR05,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,76.47,75.714286
PPR06,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,,82.393925
PPR06,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.18,90.972222
PPR06,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,,100.0
PPR06,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,72.88,76.363636
PPR07,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,65.22,67.643294
PPR07,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,93.560606
PPR07,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,92.16,94.285714
PPR07,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,95,95
PPR08,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,,92.5
PPR08,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
PPR08,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,,100.0
PPR08,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR09,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,68.54,70.816545
PPR09,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,96.67,97.5
PPR09,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
PPR09,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,86.67,87.777778
PPR10,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,96.83,96.875
PPR10,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,100,100.0
PPR10,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,69.23,71.25
PPR10,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,93.33,94.444444
PPR11,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,79.22,81.768925
PPR11,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,88.41,91.153846
PPR11,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,93.33,93.333333
PPR11,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR12,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,80.33,84.93266
PPR12,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,68.89,75.580357
PPR12,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,95,95.833333
PPR12,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,95,95.0
PPR13,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,75.9,74.820021
PPR13,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,57.8,55.881737
PPR13,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,300,300
PPR13,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR14,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,91.517857
PPR14,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,85.92,87.430556
PPR14,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
PPR14,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,70,73.214286
PPR15,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,91.865079
PPR15,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,75,79.038947
PPR15,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90.48,90.833333
PPR15,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,95,95
PPR16,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,88.41,91.25
PPR16,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,85.92,90.476191
PPR16,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90,91.666666
PPR16,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,84.09,83.333333
PPR17,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,,100.0
PPR17,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,93.333333
PPR17,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,,100.0
PPR17,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,93.33,94.444444
PPR20,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,52.14,60.742244
PPR20,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,91.04,94.642857
PPR20,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,69.23,75.0
PPR20,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR21,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,85.92,87.403846
PPR21,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,88.41,90.0
PPR21,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,80,80.0
PPR21,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR22,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,91.04,94.230769
PPR22,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,94.602273
PPR22,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,82.61,85.714286
PPR22,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,90,91.666666
PPR23,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,100,100.0
PPR23,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,112.96,90.396825
PPR23,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,historical_original,91.67,91.67
PPR23,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,87.5,90.47619
PPR24,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,73.49,85.625
PPR24,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,96.153846
PPR24,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,90.48,90.833333
PPR24,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,recalculated_raw,100,100.0
PPR25,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,81.33,84.348291
PPR25,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,93.85,95.833333
PPR25,PRE,route_efficiency_pct_wmplanning,PWM_PERC_PRE,recalculated_raw,100,100.0
PPR25,POST,route_efficiency_pct_wmplanning,PWM_PERC_POST,historical_original,100,100
PPR26,PRE,route_efficiency_pct_planning,PLANNING_PERC_PRE,recalculated_raw,68.54,72.378663
PPR26,POST,route_efficiency_pct_planning,PLANNING_PERC_POST,recalculated_raw,88.41,89.930556
