ID,group,sex,age,class,section,hand,semestre,"eta_2 (gruppo 1 5 e 6 anni del primo semestre, gruppo 2 6 anni e 7 anni primo semestre e gruppo 3 7 anni secondo semestre ",NOTE,CBT_F_SPAN_PRE,CBT_B_SPAN_PRE,TOL_TP_PRE,TOL_TE_PRE,TOL_TR_PRE,TOL_ACC_PRE,TOL_VIO_REG_PRE,Raven_ACC_PRE,RAVEN_T_PRE,WM_SPAN_PRE,WM_TRIAL_PRE,WM_ACC_PRE,PLANNING_TP_PRE,PLANNING_TE_PRE,PLANNING_TR_PRE,PLANNING_SPAN_PRE,PLANNING_TRIAL_PRE,PLANNING_ACC_PRE,PLANNING_OST_PRE,PLANNING_MATT_PRE,PLANNING_MATTI_MIN_PRE,PLANNING_PERC_PRE,PWM_TP_PRE,PWM_TE_PRE,PWM_TR_PRE,PWM_TRIAL_PRE,PWM_ACC_PRE,PWM_OST_PRE,PWM_MATT_PRE,PWM_ MATT_MIN_PRE,PWM_PERC_PRE,ABAS_comm_use,ABAS_comm_use_supp,ABAS_fun_acc,ABAS_fun_acc_suppongo,ABAS_school_liv,ABAS_school_liv_suppongo,ABAS_Health_saf_sic,ABAS_Health_saf_suppongo,ABAS_Leisure,ABAS_Leisure_suppongo,ABAS_Selfcare,ABAS_Selfcare_suppongo,ABAS_Selfdirection,ABAS_Selfdirection_suppongo,ABAS_soc,ABAS_soc_suppongo,BRIEF_Inhibit,BRIEF_SelfMonitor,BRIEF_BRI,BRIEF_shift,BRIEF_Em_Con,BRIEF_ERI,BRIEF_Initiate,BRIEF_wm,BRIEF_plann,BRIEF_TaskMonitor,BRIEF_OrganizMaterial,BRIEF_CRI,CBT_F_SPAN_POST,CBT_B_SPAN_POST,TOL_TP_POST,TOL_TE_POST,TOL_TR_POST,TOL_ACC_POST,TOL_VIO_REG_POST,Raven_ACC_POST,RAVEN_T_POST,WM_SPAN_POST,WM_TRIAL_POST,WM_ACC_POST,PLANNING_TP_POST,PLANNING_TE_POST,PLANNING_TOT_POST,PLANNING_span_POST,PLANNING_trial_POST,PLANNING_ACC_POST,PLANNING_OST_POST,PLANNING_MATT_POST,PLANNING_MATTI_MIN_POST,PLANNING_PERC_POST,PWM_TP_POST,PWM_TE_POST,PWM_T_POST,PWM_TRIAL_POST,PWM_ACC_POST,PWM_OST_POST,PWM_MATT_POST,PWM_MATT_MIN_POST,PWM_PERC_POST,PLANNING_EFF_PRE,PLANNING_EFF_POST,PWM_EFF_PRE,PWM_EFF_POST
SPR11,2,M,7,2,spb,S,1,2,,5,0,57,104,161,25,0,25,252,4,5,4,70,216,286,8,8,16,0,67,61,"91,04",36380,-36319,61,4,4,2,20,18,90,43,,44,,54,,43,,42,,51,,54,,49,,11,8,19,10,8,18,5,10,12,10,6,43,4,5,74,89,163,25,1,29,311,4,6,5,20,138,158,8,8,16,0,67,61,"91,04",20,54,74,5,6,2,32,28,"87,5",6,6,2,4
SPR12,2,M,7,2,spb,D,1,2,,3,3,67,138,205,27,1,22,321,2,3,2,40,152,192,8,8,16,0,65,61,"93,85",7,37,44,4,4,2,22,18,"81,82",36,,39,,40,,35,,38,,45,,46,,48,,11,11,22,16,12,28,8,13,16,12,10,59,4,0,30,99,129,27,1,22,329,1,2,0,30,124,154,8,8,16,0,63,61,"96,83",11,52,63,6,5,3,30,26,"86,67",4,2,4,4
SPR13,2,F,7,2,spb,D,1,2,,4,0,65,263,328,22,2,12,503,2,4,1,107,385,492,8,9,15,1,79,63,"79,75",35,122,157,5,6,2,32,28,"87,5",29,,23,,35,,38,,30,,40,,32,,40,,17,11,28,16,15,31,12,21,20,17,12,82,3,0,99,169,268,33,0,19,468,2,3,2,110,243,353,8,8,16,0,61,61,100,58,121,179,9,8,4,50,46,92,16,0,4,4
SPR14,2,M,7,2,spb,D,1,2,,4,3,117,127,244,22,5,20,356,3,6,2,38,144,182,8,9,15,1,62,60,"96,77",54,87,141,10,7,5,44,44,100,30,,47,,54,,43,,45,,51,,54,,49,,12,7,19,11,8,19,5,11,13,10,6,45,4,0,64,138,202,26,2,20,240,3,6,2,46,157,203,8,11,14,3,59,59,100,7,51,58,5,3,3,26,18,"69,23",2,0,0,8
SPR15,2,M,7,2,spb,D,1,2,,5,4,40,128,168,28,4,27,423,3,4,4,32,140,172,8,8,16,0,67,61,"91,04",59,125,184,10,13,3,70,60,"85,71",36,,39,,40,,35,,38,,45,,46,,48,,11,10,21,16,12,28,8,13,16,12,10,59,6,5,62,89,151,29,0,22,278,1,2,0,46,160,206,8,8,16,0,67,61,"91,04",33848,-33829,19,3,2,2,8,8,100,6,6,10,0
SPR16,2,F,7,2,spb,D,1,2,,4,4,103,176,279,28,2,15,304,2,4,1,52,188,240,8,8,16,0,67,61,"91,04",43,95,138,9,8,4,43,43,100,36,,39,,40,,35,,38,,45,,43,,48,,11,11,22,16,12,28,8,13,16,12,10,59,4,5,74,118,192,32,2,24,367,4,4,4,43,116,159,9,8,16,0,63,61,"96,83",10,58,68,6,5,3,28,26,"92,86",6,2,0,2
SPR17,2,M,7,2,spb,S,1,2,,4,4,28,127,155,25,7,21,384,3,5,3,45,160,205,8,9,15,1,91,63,"69,23",42620,-42503,117,8,9,3,66,47,"71,21",43,,47,,54,,43,,45,,51,,54,,49,,12,7,19,11,8,19,5,11,13,10,6,45,4,5,36,126,162,31,0,26,300,3,4,2,18,109,127,8,8,16,0,77,61,"79,22",9,50,59,6,5,3,34,26,"76,47",28,16,19,8
SPR18,1,M,7,2,spa,D,1,2,,5,5,81,129,210,26,5,15,320,4,7,2,23,115,138,6,8,11,2,47,41,"87,23",0,0,0,2,0,2,0,0,75,30,5,40,7,48,4,28,6,46,1,51,2,55,,59,,13,5,18,11,8,19,4,13,13,8,5,43,5,6,80,124,204,30,0,26,286,3,5,3,36,103,139,8,8,16,0,63,61,"96,83",19,32,51,7,4,4,29,29,100,6,2,0,0
SPR19,1,M,7,2,spa,D,1,2,,3,4,94,107,201,30,2,15,354,3,5,3,46,177,223,8,8,16,0,71,61,"85,92",34138,-34057,81,8,6,4,34,34,100,30,5,37,7,48,4,28,6,45,1,48,2,57,,59,,8,5,13,11,8,19,5,11,12,8,5,41,4,0,108,118,226,32,0,23,320,4,5,6,29,105,134,8,8,16,0,69,61,"88,41",40,77,117,9,11,3,58,52,"89,66",10,8,0,6
SPR20,1,F,7,2,spa,S,1,2,,6,4,47,69,116,23,3,29,303,3,5,3,37,219,256,8,8,16,0,75,61,"81,33",18,71,89,4,4,2,22,18,"81,82",27,6,36,8,46,4,30,6,47,1,57,,55,,58,,13,10,23,13,8,21,5,15,15,8,6,49,4,4,64,92,156,28,2,29,302,4,5,4,57,135,192,8,8,16,0,63,61,"96,83",19,48,67,4,4,2,24,18,75,14,2,4,6
